Borough,month-year,med_Detached,med_Flat,med_Other,med_Semi-detached,med_Terraced,count_Detached,count_Flat,count_Other,count_Semi-detached,count_Terraced,overall_median,overall_count
BARKING AND DAGENHAM,01-2017,,210000.0,345000.0,320000.0,300000.0,,35.0,9.0,21.0,93.0,294250.0,158
BARKING AND DAGENHAM,01-2018,,240000.0,305000.0,360000.0,315000.0,,63.0,12.0,17.0,102.0,298000.0,194
BARKING AND DAGENHAM,01-2019,750000.0,217000.0,710000.0,332750.0,315000.0,1.0,37.0,7.0,14.0,80.0,305000.0,139
BARKING AND DAGENHAM,02-2017,349995.0,200500.0,500000.0,340000.0,310000.0,1.0,46.0,11.0,23.0,95.0,299372.5,176
BARKING AND DAGENHAM,02-2018,,235000.0,396511.5,355000.0,325000.0,,47.0,8.0,19.0,111.0,310000.0,185
BARKING AND DAGENHAM,02-2019,415000.0,240000.0,172741.0,345000.0,310000.0,1.0,37.0,10.0,19.0,77.0,300000.0,144
BARKING AND DAGENHAM,03-2017,446250.0,234997.5,225000.0,330000.0,311250.0,2.0,70.0,12.0,21.0,148.0,300000.0,253
BARKING AND DAGENHAM,03-2018,430000.0,230000.0,370000.0,325000.0,305000.0,1.0,54.0,16.0,26.0,117.0,299500.0,214
BARKING AND DAGENHAM,03-2019,,212500.0,337500.0,380000.0,312500.0,,12.0,2.0,6.0,47.0,308000.0,67
BARKING AND DAGENHAM,04-2017,485000.0,248997.5,355000.0,355000.0,307000.0,1.0,48.0,6.0,19.0,76.0,297000.0,150
BARKING AND DAGENHAM,04-2018,,250260.0,683000.0,355000.0,312000.0,,69.0,6.0,16.0,92.0,300000.0,183
BARKING AND DAGENHAM,05-2017,447500.0,235000.0,262500.0,352497.5,315000.0,2.0,51.0,6.0,18.0,130.0,310000.0,207
BARKING AND DAGENHAM,05-2018,380000.0,268000.0,213750.0,349000.0,315000.0,1.0,61.0,2.0,10.0,117.0,308000.0,191
BARKING AND DAGENHAM,06-2017,385000.0,222000.0,215456.5,327000.0,315000.0,3.0,57.0,10.0,17.0,133.0,306000.0,220
BARKING AND DAGENHAM,06-2018,,285000.0,498750.0,377500.0,317000.0,,69.0,12.0,24.0,113.0,309497.5,218
BARKING AND DAGENHAM,07-2017,455000.0,225500.0,183000.0,345000.0,310000.0,1.0,55.0,14.0,12.0,109.0,295500.0,191
BARKING AND DAGENHAM,07-2018,537500.0,256495.0,3344147.0,324000.0,320000.0,4.0,98.0,2.0,23.0,107.0,308995.0,234
BARKING AND DAGENHAM,08-2017,,220000.0,508750.0,352000.0,320000.0,,39.0,4.0,29.0,111.0,312000.0,183
