assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,game_id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,player,position,team,opponent
0,42,0,0,0,24,0,2,31,0.0,0,0,1,0,0,1,0,2,0,4.7,1,47.0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,90,0,0,13,0,0,0,0,9,0,1,6,70767,0,0,0,2.0,0.0,0.0,3,0,0,0,50,True,0,0,Petr Cech,GKP,Arsenal,Man City
0,35,0,0,0,26,0,1,25,0.0,0,0,1,0,0,14,0,3,0,5.3,526,53.0,0,2018-08-18T16:30:00Z,18 Aug 17:30,0,0,90,0,0,6,0,0,0,0,8,0,2,8,90038,0,0,0,2.0,3.0,0.0,3,188,6059,5871,50,False,0,0,Petr Cech,GKP,Arsenal,Chelsea
0,24,0,0,0,17,0,0,20,0.0,0,0,1,0,0,21,0,1,0,2.8,1053,27.8,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,90,0,0,19,0,0,0,0,10,0,3,4,107301,0,0,0,1.0,3.0,0.0,3,8540,19550,11010,50,True,0,0,Petr Cech,GKP,Arsenal,West Ham
0,38,0,0,0,8,0,0,24,0.0,0,0,1,0,2,33,0,2,0,0.2,1584,2.4,0,2018-09-02T12:30:00Z,02 Sep 13:30,0,0,90,0,0,5,0,0,0,0,8,0,4,1,123566,0,0,0,3.0,2.0,0.0,1,9582,19332,9750,50,False,0,0,Petr Cech,GKP,Arsenal,Cardiff
0,33,0,0,0,13,0,2,23,0.0,0,0,1,0,0,46,0,1,0,1.4,2121,14.2,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,90,0,0,15,0,0,0,0,13,0,5,1,123310,0,0,0,2.0,1.0,0.0,2,-3297,8837,12134,50,False,0,0,Petr Cech,GKP,Arsenal,Newcastle
0,33,0,0,3,36,1,2,23,0.0,0,0,1,0,0,51,0,0,0,4.3,2658,43.4,0,2018-09-23T15:00:00Z,23 Sep 16:00,0,0,90,0,0,8,0,0,0,0,9,0,6,6,124787,0,1,0,0.0,2.0,0.0,11,-797,6593,7390,50,True,0,0,Petr Cech,GKP,Arsenal,Everton
0,18,0,0,0,6,0,1,7,0.0,0,0,1,0,0,61,0,0,0,1.7,3196,17.2,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,45,0,0,18,0,0,0,0,5,0,7,1,138891,0,0,0,0.0,2.0,0.0,1,9392,13595,4203,50,True,0,0,Petr Cech,GKP,Arsenal,Watford
0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,74,0,0,0,0.0,3735,0.0,0,2018-10-07T11:00:00Z,07 Oct 12:00,0,0,0,0,0,9,0,0,0,0,0,0,8,0,107912,0,0,0,5.0,1.0,0.0,0,-28910,924,29834,50,False,0,0,Petr Cech,GKP,Arsenal,Fulham
0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,81,0,0,0,0.0,4277,0.0,0,2018-10-22T19:00:00Z,22 Oct 20:00,0,0,0,0,0,11,0,0,0,0,0,0,9,0,92724,0,0,0,1.0,3.0,0.0,0,-16395,336,16731,50,True,0,0,Petr Cech,GKP,Arsenal,Leicester
0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,93,0,0,0,0.0,4823,0.0,0,2018-10-28T13:30:00Z,28 Oct 13:30,0,0,0,0,0,7,0,0,0,0,0,0,10,0,90783,0,0,0,2.0,2.0,0.0,0,-2999,1139,4138,50,False,0,0,Petr Cech,GKP,Arsenal,Crystal Palace
