attendance,description,eventPhase,kc,matchId,outcome,event_title,venue_name,venue_city,venue_country,team_1,team_2,team_1_score,team_2_score,local_time
0.0,Match 45,Cup Final,,26818.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Fiji 7s,USA 7s,29.0,15.0,2018-12-09 21:44:00
0.0,Match 44,Bronze Final,,26817.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,South Africa 7s,New Zealand 7s,10.0,5.0,2018-12-09 21:18:00
0.0,Match 43,5th Place Play-Off,,26816.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Spain 7s,England 7s,7.0,14.0,2018-12-09 20:36:00
0.0,Match 42,Challenge Trophy Final,,26815.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Samoa 7s,Argentina 7s,14.0,38.0,2018-12-09 20:05:00
0.0,Match 41,13th Place Play-Off,,26814.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Wales 7s,Kenya 7s,26.0,33.0,2018-12-09 19:43:00
0.0,Match 40,Cup Semi Finals,,26813.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,New Zealand 7s,USA 7s,12.0,31.0,2018-12-09 18:56:00
0.0,Match 39,Cup Semi Finals,,26812.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,South Africa 7s,Fiji 7s,12.0,17.0,2018-12-09 18:34:00
0.0,Match 38,5th Place Semi Final,,26811.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Australia 7s,England 7s,21.0,24.0,2018-12-09 18:12:00
0.0,Match 37,5th Place Semi Final,,26810.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Scotland 7s,Spain 7s,7.0,12.0,2018-12-09 17:50:00
0.0,Match 36,Challenge Trophy Semi Finals,,26808.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Canada 7s,Argentina 7s,14.0,24.0,2018-12-09 17:03:00
0.0,Match 35,Challenge Trophy Semi Finals,,26807.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Samoa 7s,France 7s,31.0,7.0,2018-12-09 16:41:00
0.0,Match 34,13th Place Semi Final,,26806.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Zimbabwe 7s,Kenya 7s,19.0,31.0,2018-12-09 16:19:00
0.0,Match 33,13th Place Semi Final,,26805.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Wales 7s,Japan 7s,28.0,7.0,2018-12-09 15:57:00
0.0,Match 32,Cup Quarter Finals,,26804.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,USA 7s,England 7s,19.0,12.0,2018-12-09 15:10:00
0.0,Match 31,Cup Quarter Finals,,26803.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Australia 7s,New Zealand 7s,17.0,26.0,2018-12-09 14:48:00
0.0,Match 30,Cup Quarter Finals,,26802.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Fiji 7s,Spain 7s,46.0,7.0,2018-12-09 14:26:00
